疾病名称,病因
发热,
贫血,"贫血有哪些常见原因？
不同类型的贫血，发生的原因也不同，生活中较为常见的有以下几种：
缺铁性贫血：主要由铁摄入不足、铁吸收障碍、铁丢失过多导致
[1]
。
铁摄入不足：当铁需求量增加而未及时补充含铁丰富的食物时，就容易发生缺铁性贫血。
铁吸收障碍：特别是胃大部切除后，食物会快速进入肠道，导致铁吸收减少，进而导致贫血。
铁丢失过多：慢性失血导致铁丢失而得不到纠正也会造成贫血。
巨幼细胞贫血：主要由缺乏叶酸及维生素 B12 导致
[1]
，长期不吃富含叶酸及维生素 B12 的食物会发生贫血。
再生障碍性贫血：可能与病毒感染（肝炎病毒等），使用氯霉素类抗生素、磺胺类药物、化疗药，长期接触X射线、镭等放射性元素有关
[1]
。
溶血性贫血：可能与遗传、血型不相容、疾病（弥散性血管内凝血、败血症、疟疾等）或者一些理化因素（大面积烧伤、亚硝酸盐中毒等）有关
[1]
。
失血性贫血：短时间内大量失血或长期慢性失血均会导致贫血的发生
[1]
。
哪些人群容易患贫血？
婴幼儿、妊娠和哺乳期妇女：此类人群需铁量较大，若不及时补充含铁丰富的食物，容易发生贫血
[1]
。
青少年：此类人群往往因为偏食而易发生贫血
[1]
。
接受胃切除术者：此类人群由于手术后，食物会快速进入肠道，导致铁吸收减少而易患贫血。
胃肠道慢性出血者：包括痔疮、胃-十二指肠溃疡、胃肠道肿瘤等患者，由于慢性失血导致铁丢失而易发生贫血
[1]
。
与母亲血型不合的胎儿：主要发生在母亲 O 型而胎儿 A 型或 B 型。因为 O 型母亲在第一胎妊娠前已产生其他血型抗体，因此胎儿会发生溶血性贫血，出生后多见黄疸，严重者还会出现心力衰竭
[4]
。
除此之外，月经过多者、长期血透者、有遗传性贫血家族史者、长期使用化疗药或其他可导致贫血的药物者、败血症患者、疟疾患者、大面积烧伤者等同样易发生贫血
[1]
。"
先天性心脏病,"先天性心脏病的病因是什么？
先心病病因至今尚未完全明确。总体来说与下列因素有关：
遗传；
近亲生育；
母亲怀孕早期患病毒感染性疾病或服用过致胎儿畸形作用的药物；
母亲患有糖尿病、红斑狼疮等疾病；
母亲吸烟饮酒、接受放射线辐射等均可能导致胎儿心脏血管发生畸形。"
阴道炎,"阴道炎为什么会发生?
因为阴道微生态平衡被打破了。
正常情况下阴道内存在多种微生物，而阴道与这些微生物之间和谐共处，形成一种平衡状态，不会致病。
乳杆菌、雌激素及阴道 pH 在维持阴道微生态平衡中起重要作用。
生理情况下，雌激素可以增加阴道上皮细胞内糖原含量——阴道上皮细胞将糖原分解为单糖——阴道乳杆菌将单糖转化为乳酸，从而维持阴道正常的酸性环境（pH ≤ 4.5）。
在上述过程中还会产生过氧化氢。过氧化氢和阴道内酸性环境一同抑制致病微生物的生长，维持阴道微生态平衡。
这种平衡一旦被打破，会降低阴道的抵抗力，阴道内的条件致病菌（达到一定的条件比如pH升高可以大量繁殖致病的细菌）大量繁殖或有外源病原体侵入，即可导致阴道炎的发生。
阴道炎的病因是什么？
细菌性阴道病：由于各种原因导致阴道内正常菌群失调，多种致病菌共同作用的一种感染，病因可能与频繁性交、多个性伴侣、阴道灌洗使阴道碱性化有关。
外阴阴道假丝酵母菌病：旧称念珠菌性阴道炎、霉菌性阴道炎，是由假丝酵母菌（也叫念珠菌，是一种真菌）引起的阴道炎，与自身免疫力下降有关。
滴虫阴道炎：也叫毛滴虫病，是由阴道毛滴虫引起的阴道炎症。
萎缩性阴道炎：也叫老年性阴道炎，常见于各种原因（年龄、手术、药物、生产）导致绝经的女性，多由雌激素水平降低、阴道内抵抗力下降有关。
婴幼儿外阴阴道炎：主要是由于婴幼儿外阴发育差、雌激素水平低、阴道壁薄抵抗力差、外阴不洁、大便污染、蛲虫感染、婴幼儿因好奇在阴道内放入异物等，造成继发感染。
阴道炎容易发生在哪些人身上？
育龄期女性：处于生育年龄的女性，由于性生活较多，分娩、流产等都要经过阴道，容易受到损伤及外界病原体的感染。
绝经后女性及婴幼儿：雌激素水平低，局部抵抗力下降，也易发生感染。
患有糖尿病的女性：此类女性的阴道上皮细胞内的糖原超过了正常水平，导致阴道 pH 降低，引起阴道微环境破坏，易发生感染。
肥胖女性：肥胖可能会导致女性内分泌失调，导致雌激素分泌异常，影响到阴道的微环境，也易发生感染。
长期服用免疫抑制剂女性：某些长期服用免疫抑制剂的女性，近期口服抗生素等药物的女性也容易患阴道炎。这与口服药物引起阴道菌群失调有关。
细菌性阴道病会传染吗?
一般不会传染
[1]
。
细菌性阴道病主要是由于自身阴道菌群失调所致，不是由外界病菌感染导致，也不会传染给其性伴侣。
外阴阴道假丝酵母菌病会传染吗?
一般不会传染。
外阴阴道假丝酵母菌病的病原体属于真菌，是机会性致病菌——也就是说只有在全身或阴道局部免疫力下降时才会发病，极少通过性交或性接触传染。
滴虫阴道炎会传染吗？通过什么方式传染？
滴虫阴道炎会传染，主要通过性接触传播，属于性传播疾病。
男性感染阴道毛滴虫后常无症状，但可能会变成传染源，通过性接触传染给其性伴侣。另外，阴道毛滴虫也可通过公共浴池、游泳池、衣物及坐便器等间接传播
[2]
。
阴道炎为什么在孕期也容易出现?
主要和以下两点有关：
孕期体内雌激素增高，阴道组织内糖原增加，导致阴道内正常的酸性环境发生变化；
另外，孕期机体及局部阴道黏膜抵抗力下降，阴道内分泌物增多，可能会导致阴道内 pH 值酸度增高，容易导致阴道内菌群失调。
因此孕期容易发生阴道炎。"
多囊卵巢综合征,"多囊卵巢综合征的病因是什么？
多囊卵巢综合征的具体病因目前尚未完全明确，多认为是由遗传和环境因素相互作用引起的一种临床综合征：
遗传因素： 本病有明确的家族遗传性，一般为是常染色体共显性遗传。
环境因素： 生活的环境中存在干扰分泌的物质如双酚 A，持续接触有机污染物如多氯联苯，抗癫痫药物如苯巴比妥等都会增加患本病的风险
[2]
。
多囊卵巢综合征一般在什么时候发病？
多囊卵巢综合征大多于青春期起病
[1]
，在月经初潮前或之后出现肥胖、月经不规则、体毛多等表现时，应高度怀疑本病。
女性如果发现雄激素过多，一定是多囊卵巢综合征导致的吗？
不一定。
女性发现雄激素过多，除了多囊卵巢综合征比较常见之外，还有可能是其他的内分泌疾病，比如肾上腺皮质功能亢进、增生、内分泌肿瘤等
[1]
，女性肥胖本身也可能出现雄激素过多。当女性发现雄激素升高时，应该去内分泌科就诊，做进一步的诊断和治疗。
此外，在妊娠中晚期，如果化验雄激素，也可能出现雄激素升高的情况，而这种情况是正常的。
多囊卵巢综合征多见于哪些人？
经常接触一些有机污染物的人：这类人群容易患有本病
[2]
。
家族中有多囊卵巢综合征的人：此类人群患病率高于其他人群
[2]
。"
宫颈癌,"宫颈癌的病因是什么？
主要因素有以下几种：
HPV 感染：持续的人乳头瘤病毒（HPV）感染是宫颈癌的主要原因，以 HPV-16 及 18 型最常见。
性接触是 HPV 病毒最主要的传播途径，性伴侣的数目越多，第一次性行为年龄越早，患宫颈癌的风险就会越大
[1]
。在性行为活跃的年轻女性中，HPV 感染很常见，感染高峰年龄为 18～30 岁。
宫颈癌筛查率低：由于教育水平低、社会地位及经济问题等原因，宫颈癌筛查率也相对较低。特别是住在贫困地区的人群接受筛查的机会可能会受到限制
[1]
。
吸烟：主动吸烟或被动吸烟都会增加患宫颈癌的风险
[1]
。
生殖行为：分娩次数过多和服用复方口服避孕药与宫颈癌的发生有明显的关系。根据调查显示，生孩子的次数越多，患宫颈癌的概率越大
[1]
。
HPV 感染一定会导致宫颈癌吗？
不是的。
HPV 分为高危型和低危型两大类
[1]
，只有高危型 HPV 可能导致宫颈癌的发生；低危型 HPV 则可能导致外生殖器疣等良性疾病，和宫颈癌无关。
宫颈癌的易患人群有哪些？
初次性生活过早、多个性伴侣
[1]
。
早年分娩、初潮过早、多孕多产
[1]
。
其他生殖道病毒的感染，如单纯疱疹病毒
[1]
、衣原体感染、支原体感染等。
吸烟
[1]
可增加发生宫颈癌可能。
与高危男子接触的妇女易患宫颈癌，高危男子包括阴茎癌、前列腺癌或其前妻曾患宫颈癌等。
未定期进行宫颈癌筛查者、服用口服避孕药、免疫抑制等人群。
宫颈癌发病的高危因素是宫颈糜烂吗？
不是。
宫颈糜烂在医学上称宫颈柱状上皮异位，是一种生理现象，并不是疾病
[4]
，也不是发展为宫颈癌的高危因素，筛查的频率与方法同无宫颈糜烂者一致。没有症状的生理性的宫颈糜烂，不需任何治疗。
宫颈癌会遗传吗？
目前还不是很清楚。
HPV 是宫颈癌的病因，约 70％～80％ 的女性一生中都曾有过 HPV 感染，即每 100 个女性约有 70～80 人一生曾感染过 HPV
[5]
，但大部分并没有进展成宫颈癌。只有一小部分高危 HPV 持续感染者进展为宫颈癌，这说明高危人群患宫颈癌的风险取决于遗传背景的差异。然而遗传因素在宫颈癌中所起的作用还需要进一步深入的研究。"
HPV感染,"HPV 有哪些感染途径？
性行为：由于 HPV 广泛存在于自然界，人的皮肤、黏膜等都携带有这种病毒，所以凡是有性生活的人群，都有可能通过各种性行为感染 HPV，包括阴道性交、口交、肛交等。
直接接触：直接与 HPV 感染者密切接触，尤其是皮肤黏膜存在伤口时，可能感染 HPV。
间接接触：通过接触感染者的衣物、洗漱用品、用过的便器等感染。
母婴传播：若孕妇感染了 HPV 病毒，则婴儿通过产道时有可能发生感染。
HPV 感染容易在哪些人中发生 ？
性生活不洁者：如同时交往多个性伴侣、性接触时未做保护措施、初次性交年龄过小，性生活前后未及时清洁的人群，增加了通过性接触传播途径感染 HPV 的风险。
免疫功能低下者：如因红斑狼疮、类风湿性关节炎等自身免疫病接受免疫抑制剂治疗的人群、以及患有艾滋病等免疫缺陷病的人群，因免疫力下降增加 HPV 感染的风险。
患有其他性传播疾病的人群：如单纯疱疹感染、淋病等，HPV 与其他微生物作用或可改变阴道内环境，增强复制能力和持久作用，从而引发感染。
HPV 感染会遗传吗？
HPV 不会遗传。HPV 所致疾病为病毒性传染病，不是遗传性疾病，所以 HPV 感染不会遗传给后代。
但婴儿出生时是有可能从母亲那里感染 HPV 的，主要是因为接触了被 HPV 污染的羊水，但大部分婴儿在出生 1～2 年内可通过自身免疫系统清除体内的 HPV。"
月经失调,"正常月经是如何建立的？
正常月经的建立和维持是复杂且精密的一个过程，需要依赖下丘脑、垂体、卵巢以及子宫之间的相互作用，主要是通过各自分泌的激素来进行控制与调节。任何一方出现问题，比如激素的紊乱，或者器官的病变，都有月经失调的可能。
月经失调的原因有哪些？
常见的原因有以下几种
[1,2]
：
女性生殖内分泌失调：例如：功能失调性子宫出血、多囊卵巢综合征、高催乳素血症、病理性闭经、原发性痛经等；
生殖器官的疾病，如子宫内膜炎，生殖器官肿瘤如子宫肿瘤、卵巢肿瘤，还有卵巢分泌雄性激素，也可以出现月经失调；
生殖器官发育异常：例如先天无子宫，先天无阴道，先天阴道闭锁等；
许多全身性疾病：如血液病（血小板减少）、高血压、乳腺腺病、结核病（输卵管结核、子宫内膜结核）、甲状腺的功能异常、肾上腺异常、糖尿病、肝功能异常等，也可以造成月经失调；
减肥、节食等：现在比较流行减肥，控制饮食以后也可能造成月经失调；
精神心理因素：长期持续的精神压抑、烦闷、劳累、精神创伤，或者心理刺激都会影响到下丘脑，从而造成月经紊乱。
不良的生活习惯：比如在寒冷的天气穿着轻薄，嗜烟嗜酒等，也会影响到月经的正常周期。
其他原因：还有妇科的宫内节育器、不规律服用避孕药，长期服用神经精神类药物，如抗抑郁药等，也可能发生月经失调。
月经失调是否遗传？
没有明显的遗传性。
月经失调常见于哪些人？
除了患有卵巢肿瘤、子宫肿瘤等疾病的女性以外，有以下因素的女性也容易出现月经失调：
情绪异常：若长期的心情抑郁或生气易怒，或精神受到刺激或因学习、工作紧张，家务操劳过度等，都可以引起机体神经内分泌功能紊乱；
过度节食：盲目节食，抵制脂类食品，可使脂肪来源减少，造成体内大量脂肪和蛋白质被耗用，从而影响雌激素的合成，其结果必然导致月经失调、闭经等；
吸烟酗酒：烟及酒中的成分，可以干扰与月经有关的生理过程，均可引起月经失调；
肥胖：导致月经失调，月经来的频率低、次数少，经量少或闭经。
月经失调跟月经期间性生活有关吗？
存在一定的关系。根据病因可知，一些妇科疾病会造成月经紊乱，而在月经期间进行性生活会大大增加女性患者妇科感染的机会，且月经期间，子宫内膜是处于一个增长剥脱的阶段，小血管破裂增加，月经期间进行性生活会影响子宫内膜的正常修复，影响月经周期
[3]
。
必须提醒的是，经期同房还是需要避孕的。另外，如果性生活伴侣本身有炎症还不注意卫生，经期行房可能加重病情。
月经失调跟服用避孕药有关系吗？
有关系，滥用误用避孕药是导致月经失调的因素之一
[1]
。
另外，服用避孕药导致的停经或月经过少者，绝大多数停药后可自然恢复，如果停药超过六个月依然不来月经，需到正规医院检查，找到病因。
但是合理使用避孕药对月经进行调节是一种常见的治疗手段，所以遵医嘱科学用药。"
生殖器疱疹,"生殖器疱疹是什么原因引起的？
引起生殖器疱疹的主要原因是感染了单纯疱疹病毒（HSV）
[3]
。
HSV 分为 1 型和 2 型两种（HSV-1 / HSV-2），约有 90％ 的生殖器疱疹是由于 HSV-2 感染所致（每 100 名生殖器疱疹约有 90 人是由于 HSV-2 感染所致）
[1]
。
生殖器疱疹会传染吗？生殖器疱疹传染源是什么？
会传染。
生殖器疱疹的传染源为生殖器疱疹病毒感染者，以及部分有疱疹史但无症状的病毒携带者。需注意的是，有皮损者传染性更强
[1]
。
生殖器疱疹是怎么传染的？
主要是依赖性接触传播的，原因是本病患者体内的单纯疱疹多存在于皮损处渗液、精液、前列腺液、宫颈及阴道分泌物等处
[1]
。
与患有生殖器疱疹的人阴交、肛交，就可能患上此病。
若伴侣感染有口腔疱疹，则有可能通过口-生殖器性行为的传播，患上本病
[1]
。
生殖器疱疹和艾滋病病毒之间有什么联系？
单纯疱疹感染可引起皮肤或口腔黏膜、阴道和直肠长疮或溃烂。这会给 HIV 以可乘之机，使其能够进入人体
[4]
。
即便没有可见的疮口，生殖器疱疹亦会提高处于生殖器中的 CD4 细胞（HIV 进入人体所需通过的目标细胞）数量，从而感染 HIV -1
[4]
。
当一个人同时感染 HIV 和生殖器疱疹，则 HIV 通过伴侣的口腔、阴道或直肠进行传播，使原本尚未感染 HIV 的性伴侣感染 HIV 的机会增加。"
子宫肌瘤,"子宫肌瘤的常见病因是什么？
确切的病因尚未明了，可能和人体内的雌激素、孕激素、种族、肥胖等有关。
雌激素：目前多认为与女性性激素相关，肌瘤组织局部对雌激素的高敏感性是肌瘤发生的重要因素
[1]
。
孕激素：孕激素可以刺激肌瘤生长
[1]
。
种族：黑人的发病率相较于白人更高，原因尚不明确
[2]
。
生产次数：有至少一次二十周以上怀孕史、怀孕次数越多，发生本病的风险越低，具体的机制不详细。
[2]
。
初潮过早：第一次来月经时间过早（＜ 10 岁），发生肌瘤的风险性越高，可能是雌二醇水平增加，加快肌瘤的生长
[2]
。
饮食：大量摄入牛肉和其他红肉会增加患有本病的相对风险，相反摄入绿色蔬菜和水果会减少本病的发生，豆制品和咖啡因一般和本病无关，具体的机制暂未提及
[2]
。
饮酒：啤酒可能会增加本病的发生风险
[2]
。
肥胖：肥胖和子宫肌瘤密切相关，肥胖可能会相对增加雌激素游离水平，增加子宫本病的发生风险。
维生素 D 水平低：维生素D水平和本病发病呈一个负相关的关系，即体内维生素D水平低的话，可能会增加患有本病的概率
[3]
。
遗传：另外，细胞遗传学研究显示子宫肌瘤存在细胞遗传学的异常，染色体常存在异常改变。如果一个患有子宫肌瘤，那么她的一级亲属的患病风险会增高
[4]
。
子宫肌瘤哪些人得的可能性比较大？
据研究，以下因素可能会使子宫肌瘤的风险升高：
月经初潮过早（＜ 10 岁）的人；第一次来月经的年龄越早，发生本病的危险性越高。
生产次数少的人：该类人由于生产次数少，可能会增加肌瘤的形成概率，暂时无具体发病机制。
大量摄入牛肉和其他红肉的人：该类人群可能更容易患有子宫肌瘤，具体机制不详。
维生素 D 缺乏的人：维生素 D 缺乏会增加患子宫肌瘤的概率，暂不知具体的发病机制。
饮酒，特别是啤酒的人：该类人群发生子宫肌瘤的概率较大，具体机制不详。
有子宫肌瘤的家族病史的人：患有此病的风险可能性更高。
子宫肌瘤与性生活有关吗？
子宫肌瘤的发病与有无性生活无关，因此无性生活的女性也可能存在子宫肌瘤。
子宫肌瘤会传染吗？
子宫肌瘤不是传染病，不会传染。它主要是与自身体质及体内雌激素水平有很大的关系。
子宫肌瘤会遗传吗？
有可能。
研究显示，部分女性的子宫肌瘤具有家族易感性，也有越来越多的证据表明子宫肌瘤具有特定的易感基因。所以，虽然子宫肌瘤不是典型的遗传病，但有一定的遗传可能性。"
卵巢癌,"卵巢癌发病的原因是什么？
目前卵巢癌的病因尚不十分明确。临床流行病学资料显示，卵巢癌其发病可能与患者的年龄的升高、生育的推迟、慢性盆腔疾病史及环境的恶劣等有关。
卵巢癌是否会遗传？
绝大部分卵巢癌为散发性，但约 5～10% 患者为遗传性卵巢癌，与 BRCA 基因的功能异常密切相关。
卵巢癌更容易发生在哪些人群中？
卵巢癌可发生于各年龄段女性，年龄越高，发病越多。最多见于更年期和绝经期妇女（40～60 岁），20 岁以下发病较少。
卵巢癌的类型与发病年龄之间的关系是什么？
不同类型的卵巢癌年龄分布也不同。
卵巢上皮癌 40 岁以后迅速增加，高峰年龄为 50 岁左右，到 70 岁以后逐渐下降；性索间质肿瘤类似卵巢上皮癌，随年龄增长而上升；而生殖细胞肿瘤见于 20 岁以前的年轻女性。"
癌前病变,"癌前病变是由什么原因引起的？
病毒感染：人乳头瘤病毒、单纯疱疹病毒、白念珠菌等感染可导致黏膜白斑，乙肝病毒感染可导致肝炎、肝硬化等。
内分泌紊乱：女性性激素紊乱可能会导致外阴黏膜白斑、乳腺纤维囊性增生症等。
遗传：肠息肉具有一定的遗传作用。
物理化学刺激：吸烟、嗜酒、喜食酸辣、烫的食物，可能导致口腔黏膜白斑、食管上皮不典型增生、慢性萎缩性胃炎等。
局部刺激因素：不合适的假牙、牙齿错位、牙结石等长期磨损口腔黏膜，导致黏膜白斑、口腔溃疡等的发生。
生活饮食习惯：饮食习惯以各种肉类为主，吃蔬菜少或基本不吃蔬菜也可能会导致肠息肉的发生。
疾病因素：长期便秘也会刺激到肠道，导致肠息肉的发生。"
不孕症,"不孕症一定是女方的问题吗？
怀不上孩子的原因中，女方因素占 40%～55%，男方因素占 25%～40%，夫妻双方因素占 20%，免疫和不明原因约 10%。
除了女方，男方有问题的情况还是非常普遍的，这也是无法怀孕做检查时一定要夫妻双方一起进行的原因。
女性是不是年龄越大越不容易受孕？
是。
无论男女，到一定年龄后生育力都会逐渐下降，而女性下降得更显著，通常从 35 岁开始就逐年下降。
不孕症患者的原因有哪些？
排卵障碍；
输卵管因素；
子宫因素；
宫颈因素；
外阴及阴道因素；
子宫内膜异位症；
免疫因素；
不明原因（少数不孕症找不到明确原因）。
不孕症的排卵障碍因素有哪些？
卵巢本身的原因
：
卵巢早衰、患者染色体异常导致的卵巢发育不全或不发育；
放化疗或卵巢手术造成卵巢损伤导致不排卵；
卵巢有卵泡发育但是不破裂无法排出。
垂体或下丘脑的原因
：
卵巢的上级指挥系统（垂体或下丘脑）功能异常，也会导致卵巢不排卵；
其他原因
：
内分泌系统疾病和一些全身疾病，如甲亢、高泌乳素血症，也会影响卵巢功能而导致不排卵。
不孕症患者发生黄体功能不全的原因是什么？
从名字上就能看出来，「黄体功能不全」的意思是黄体的功能出了问题。
黄体是卵巢排卵后形成的、具有内分泌功能的细胞团和大量新生血管，在新鲜的时候是黄色的，所以被称为黄体。
黄体的基本功能是合成和分泌孕激素，而孕激素能帮助子宫做好怀孕的准备，所以当黄体功能出问题时，子宫内膜就不能很好的转化或与胚胎同步，从而导致怀孕困难。
不孕症的输卵管性病因有哪些？
输卵管是卵子和精子相遇的场所，又是受精卵通过的必经之道，所以，一旦它出了问题很容易导致不孕。
在所有女性不孕症中，输卵管问题导致的不孕最常见，大约占了 1/3。
引起不孕症的输卵管因素有很多，主要的有以下几种：
输卵管炎，大多是由细菌、支原体、衣原体感染引起；
子宫内膜异位症；
输卵管手术史，或输卵管附近器官的手术史，手术使输卵管发生了粘连；
输卵管附近有肿瘤压迫；
输卵管先天发育不良。
不孕症患者的子宫性病因有哪些？
子宫畸形
：
如单角子宫、双角子宫、子宫纵膈等。
如果把正常的子宫比作一个房间，单角子宫相当于房间少了个角，双角子宫、纵膈子宫相当于房间当中多了个柱子或者房顶凹陷了。人住在这样的房间里面就不舒服，胚胎也一样，在这样的子宫环境中不容易着床。
子宫内膜遭到破坏
：
子宫内膜结核、子宫内膜炎症、子宫内膜息肉等可引起子宫内膜破坏，形成疤痕粘连，影响受精卵植入或胚胎发育。
子宫肿瘤
：
子宫肌瘤、子宫内膜癌等也会影响受孕。
不孕症患者的宫颈因素的病因有哪些？
宫颈有炎症；
宫颈发育异常，如先天性宫颈狭窄或闭锁；
宫颈的位置有肿物，比如宫颈息肉、宫颈肌瘤、宫颈癌等。
这些情况可能影响精子与卵子相遇的过程，从而导致不孕。
不孕症患者的外阴、阴道因素的病因有哪些？
外阴、阴道结构问题
：
比如，外阴的处女膜发育异常、阴道部分或完全闭锁、阴道创伤后形成疤痕狭窄等，都可能影响性生活或阻碍精子进入宫颈口，从而导致不孕。
阴道内环境问题
：
比如，严重的阴道炎可明显改变阴道的酸碱度，阴道内有大量的微生物和白细胞，阴道的异常环境降低了精子活力，缩短了其生存时间，甚至吞噬精子，从而影响受孕。
不孕症为什么可以由子宫内膜异位症引起？
子宫内膜异位症可引起子宫、输卵管、卵巢的粘连，粘连可影响卵巢排卵、输卵管运输卵子、以及精子和受精卵的通行。
子宫内膜异位症患者容易发生优势卵泡（最成熟的那个卵泡）排不出，这样卵子就无法与精子结合形成受精卵，导致不孕。
子宫内膜异位症患者由于整体盆腔环境的免疫功能异常导致不孕。
不孕症患者中肯定都合并子宫内膜异位症吗？
不一定，子宫内膜异位症（内异症）患者也有自然怀孕的可能。不过患有内异症的人，生育能力会比正常人下降很多，因此如果发现有内异症应该及时治疗。
不孕症患者的免疫因素有哪些？
精子免疫
：
就是免疫系统错误地伤害精子，在男性和女性身上都可能发生。
异常的精子可以使男性或女性产生异常的免疫反应，这些免疫反应可引起精子的聚集，或者影响精子的运动和受精功能。
女方体液免疫异常
：
就是女性的体液免疫系统错误地妨碍正常受精过程。
免疫异常产生的抗体有的可以使卵子外壳变得僵硬不利于精子穿透，有的可引起胚胎着床部位小血管血栓形成，影响胚胎种植。
子宫内膜局部细胞免疫异常
：
子宫内膜局部存在大量的免疫细胞，本来这些免疫细胞是帮助怀孕的，但免疫异常后，免疫细胞就认为胚胎是异物，从而排斥胚胎导致不孕。
不孕症患者的不明原因性不孕指什么？
不明原因性不孕很好理解，就是确定了不孕，但找不到明确的原因。
在医学上，不明原因性不孕是指经过了目前能进行的所有检查，但还是找不到原因的不孕症，不明原因性不孕症相对来说比较少，大约占全部不孕症的 10%。"
