疾病名称,简介
发热,范运柱小儿内科主治医师
贫血,"贫血是什么？
贫血是指人体外周血中红细胞或者血红蛋白不足，不能对组织器官充分供氧的一类临床综合征。可引起头痛、头晕、失眠、心慌、皮肤黏膜苍白等症状
[1]
。
贫血的原因主要包括铁缺乏，叶酸缺乏，维生素 B12  缺乏，妊娠，病毒感染，长期接触 X 射线、镭等。此外，部分贫血也可由遗传因素导致
[1]
。
由于贫血的病因较为多样，因此，本病没有统一的治疗方法。一般需根据病因给予治疗，经治疗后多可缓解
[1]
。
贫血常见吗？
常见。但具体发病率尚无最新权威数据。根据 2010～2012 年中国居民营养与健康状况监测，中国城市居民（不包括孕妇）贫血患病率为 9.7 %
[2]
，即每一千位城市居民中，就有 97 人存在贫血。
贫血会遗传吗？
不一定。
由营养不良导致的贫血，如缺铁性贫血、巨幼细胞贫血通常不会遗传。但某些类型的贫血具有家族遗传性，如地中海贫血（是溶血性贫血的一种）等
[1]
。"
先天性心脏病,"先天性心脏病是什么？
先天性心脏病简称「先心病」。是指出生时就存在的心血管结构或功能的异常，是胎儿时期心血管系统发育异常或发育障碍（如房间隔缺损、室间隔缺损）以及出生后应当退化的组织未能退化（如动脉导管未闭）所造成的心血管畸形。
先心病约占新出生存活婴儿的 7‰～8‰，占我国重大出生缺陷发病率和死亡率的首位。
先天性心脏病有哪些类型？
可以把我们的心脏想象成一座房子，房子盖好以后可能有以下各种问题：
屋子之间的墙有缺损：如房间隔缺损（正常左右心房完全独立）、室间隔缺损（正常左右心室完全独立）；
盖房子时的临时水管没有及时除掉：如动脉导管未闭（胎儿时未形成独立的呼吸功能和血液循环，因此，肺动脉和主动脉之间有一条动脉导管使血液能够循环，正常在出生时会闭合萎缩）；
房子内的门不能完全打开或关闭：如肺动脉瓣狭窄、主动脉瓣畸形；
冷热水管之间有瘘道造成冷水不冷、热水不热：如肺动静脉瘘、冠状动静脉瘘；
房子内的电线有问题不导电：如先天性完全性房室传导阻滞。
以上这些先心病类型又
以房间隔缺损、室间隔缺损、动脉导管未闭最常见
。"
阴道炎,"阴道炎是什么病?
阴道炎是指各种原因（感染性或非感染性）导致的阴道感染性疾病，可表现为白带增多有臭味、外阴瘙痒、刺痛等不适症状。各个年龄段的女性都有可能发生阴道炎，但阴道炎的常见类型往往不同
[1]
。
怀疑阴道炎时，可通过阴道分泌物检查进行诊断。治疗方法主要是去除病因（比如抗感染）和调节阴道微生态。
如有上述疑似阴道炎的不适症状，应及时就医，大部分阴道炎可以完全治愈。若阴道炎和外阴炎相伴发生，这种情况叫做「外阴阴道炎」。
阴道炎分为哪些类型?
根据病因不同，阴道炎可分为
[2]
：
细菌性阴道病（bacterial vaginosis, BV）：由于各种原因导致的阴道内正常菌群失调，是多种致病菌（主要有加德纳菌、厌氧菌以及人型支原体）共同作用的一种感染。
外阴阴道假丝酵母菌病（vulvovaginal candidiasis, VVC）：旧称念珠菌性阴道炎、霉菌性阴道炎，是由假丝酵母菌（也叫念珠菌，是一种真菌）引起的阴道炎。
滴虫阴道炎（trichomonal vaginitis, TV）：也叫毛滴虫病，是由阴道毛滴虫引起的阴道炎症。
萎缩性阴道炎（atrophic vaginitis）：也叫老年性阴道炎， 多由雌激素水平降低、阴道内抵抗力下降导致的炎症。
婴幼儿外阴阴道炎（infantile vaginitis）：常见于 5 岁以下的女孩，外阴炎和阴道炎往往并存。主要是由于婴幼儿外阴发育差、雌激素水平低、阴道壁薄抵抗力差、外阴不洁、大便污染、蛲虫感染、婴幼儿因好奇在阴道内放入异物等，造成继发感染。"
多囊卵巢综合征,"多囊卵巢综合征是什么？
多囊卵巢综合征（polycystic ovary syndrome, PCOS）是常见的妇科疾病，是青春期女性不孕的常见病因。主要有雄激素过多症的皮肤表现（如多毛和中-重度痤疮）、月经失调、持续性没有排卵、卵巢多囊性改变、肥胖和胰岛素抵抗
[1]
。
引起 PCOS 的原因尚不明确，可能是遗传和环境因素。治疗方面以生活方式干预及口服雌-孕激素药物治疗为主。
治疗不及时，可能会引起不孕、子宫内膜癌、糖尿病等
[2]
。
多囊卵巢综合征伴随的胰岛素抵抗是什么？
外周组织对胰岛素的敏感性降低，使胰岛素的功能低于正常，该现象称为胰岛素抵抗。
这时候身体会认为胰岛素分泌不足，而产生过量的胰岛素，不仅影响体内的糖代谢，导致血糖异常，也能作用于垂体，促进雄激素分泌，导致雄激素过高。即胰岛素抵抗和雄激素过多，可互为因果。
多囊卵巢综合征发生率高吗？
在育龄期女性中， 多囊卵巢综合征的发生率约 5%～10%，即每 100 个育龄女性中就有 5～10 个人患有本病
[3]
。
多囊卵巢综合征患者应该看哪个科室？
一般选择妇科或妇产科就诊。"
宫颈癌,"宫颈癌是什么？
宫颈癌是指发生在宫颈阴道部及宫颈管的恶性肿瘤，是最常见的妇科恶性肿瘤之一
[1]
。是全球女性中第四大恶性肿瘤。与持续感染高危型 HPV（人乳头瘤病毒）有关。早期可引起阴道流血流液等症状。如果诊断及时，可借助手术根治，部分患者需要联合放疗、化疗。
宫颈癌患者除了经受身体上的痛苦，心理上也可能产生较多的负面情绪，但无论如何，请不要对治疗失去信心。假如你的家人朋友患了宫颈癌，也请给予她们足够的情感支持，鼓励他们积极接受治疗。
目前，已研究出可以预防宫颈癌的疫苗—— HPV 疫苗，预计将有效降低宫颈癌的发病率和死亡率。但注射了疫苗也不能百分之百避免得宫颈癌，定期筛查仍然不可废除
[2]
。早期诊断宫颈癌并规范治疗，也可以取得较好的治疗效果。
宫颈癌癌前病变是什么？
癌前病变是指有癌变的倾向，其具有发展成恶性肿瘤的可能。宫颈癌癌前病变是指宫颈上皮内瘤变（CIN），长期存在可能转变为宫颈癌，时间可从数年至数十年，是一个由量变发生质变的连续发展过程，对妇女的身心健康及生命安全均造成较大的威胁
[3]
。
研究显示，在宫颈癌癌前病变期及时采取有效措施临床治愈率可接近 100%，阻止由宫颈癌癌前病变转变进而降低宫颈癌的发病率及致死率
[3]
。
宫颈癌前病变是指宫颈上皮内瘤变（CIN），包括宫颈不典型增生和宫颈原位癌。
宫颈不典型增生：是指宫颈上皮细胞部分或绝大部分被不同程度的异型细胞所代替；
宫颈原位癌：是指不典型增生的异型细胞扩展到宫颈鳞状上皮的全层。
宫颈癌可分为哪些类型？
根据病理类型不同，宫颈癌可大致分为三种类型：鳞癌、腺癌及腺鳞癌等几个常见类型。
其中，鳞癌占宫颈癌的 75%～80%，即为每 100 个发生宫颈癌的患者，约有 75～80 人患的是浸润性鳞状细胞癌
[4]
。腺癌占宫颈癌的 20%～25%，即为每 100 个发生宫颈癌的患者，约有 20～25 人患的是宫颈腺癌
[4]
。
此外，比较少见的宫颈癌类型还包括神经内分泌癌、未分化癌、混合性上皮 / 间叶肿瘤、间叶肿瘤、黑色素瘤、淋巴瘤等
[4]
。
宫颈癌应该看哪个科？
妇科、肿瘤科或放疗科。"
HPV感染,"HPV 是什么？
HPV 又称「人乳头瘤病毒」，是一种双链 DNA 病毒，可致人类皮肤和黏膜异常增生。感染该病毒后可出现寻常疣、尖锐湿疣等良性皮肤病损，也可能引起恶性肿瘤，如宫颈癌、外阴癌、肛门癌等，为涉及到多学科的疾病
[1]
。但也有部分人感染了该病毒，没有出现任何症状和不适的感觉。
目前发现，HPV 有 200 多种类型（医学上称为「亚型」）。根据 HPV 致癌潜能，可将 HPV 分为高危型和低危型
[2]
：
高危型 HPV
：型别主要有 HPV 16、18、26、31、33、35、39、45、51、52、53、56、58、59、66、68、73、82 等。主要引起外生殖器癌、宫颈癌及高度外阴、宫颈上皮内瘤变及其他部位恶性病变。
低危型 HPV
：型别主要有 HPV 6、11、40、42、43、44、54、61、70、72、81、83 等。主要诱发外生殖器和皮肤的尖锐湿疣以及低度外阴、宫颈上皮内瘤变及其他部位的疣类病变和低度上皮内瘤变。
HPV 感染是怎么发生的？
HPV感染部位为人的皮肤和黏膜，病毒通过皮肤黏膜的接触感染人体，其中性接触传播为 HPV 的主要传播方式。HPV 不入血，所以血液传播不是 HPV 的传播途径。
HPV 感染是性病（性传播疾病）吗？
不全是。
HPV 病毒可通过性行为传播，但需要注意的是，并不是所有的HPV感染都是性病。
HPV 感染引起的尖锐湿疣，好发于男女生殖器、肛周、尿道等部位，属于性病。
但 HPV 感染引起的寻常疣、跖疣、扁平疣等皮肤病损属于病毒性皮肤病，不是性病；
口腔癌、鼻咽癌、喉癌、食管癌等也不属于性病；
宫颈癌和肛周癌的发生与尖锐湿疣等癌前病变密切相关，但长期、持续的高危型 HPV 感染才是宫颈癌发生的主要危险因素，故也不属于性病。
HPV 感染常见吗？
常见。
中国所在的东亚地区 HPV 感染率约为 12%，即 100 个人中约有 12 个人感染 HPV。男性和女性群体处于相同的 HPV 暴露的风险中，至少 80% 的男性和女性在 45 岁前都曾感染过 HPV，其感染类型和组织分布也相似
[3]
。
HPV 感染后一定会得病吗？
不一定。
大多数情况下，人体在感染 HPV 后可通过自身免疫力将病毒清除。90% 的 HPV 感染可以在 2 年内清除，低危型为 5～6 个月，高危型为 8～24 个月
[4]
。
HPV 感染后会得癌吗？
HPV 感染后，仅有极少数感染者会发展为癌症。
大多数 HPV 感染是一过性的，人体可依靠自身免疫力清除。长期的、持续的高危型 HPV 感染才是癌症发生的危险因素。
从 HPV 持续性感染发展为宫颈低度病变、宫颈高度病变等癌前病变，到原位癌、浸润癌的过程可能需要几年、十几年、甚至几十年的过程
[4]
。
HPV 感染时，要去看哪个科？
分情况而定，主要看 HPV 感染的部位和引起的病变：
如果是宫颈病变伴有 HPV 感染，需要前往妇科或妇产科就诊；
如果是尖锐湿疣或寻常疣等皮肤病变，需前往皮肤性病科就诊；
如果 HPV 感染引起口咽部位发生肿瘤，应前往肿瘤科就诊。"
月经失调,"月经失调是什么病？
月经失调是一种常见的妇科病。月经是女性的一种生理现象，表现为周期性的阴道流血，两次流血的时间间隔大约是一个月（因人而异，一般在 21 天到 35 天，平均 28天），每次阴道流血大约持续 2～8 天。正常的月经是规律的，时间间隔规律，出血天数稳定，出血量稳定。如果以上三个规律任一出现异常，都可叫做月经失调
[1]
。
导致月经失调的原因多种多样，有生活习惯因素，精神心理因素，疾病因素等
[2]
。不同原因导致的月经失调，治疗方案不同。不要盲目相信广告或者「调经」偏方，要到正规医院检查、治疗。
月经失调是经期推迟、经期提前吗？
不一定是，也要根据长期的月经周期来看。
20～40 岁女性的月经周期变化相对较小。而在月经初潮后的头 5～7 年里及绝经前的最后 10 年内，由于激素的水平变化不稳定，月经周期变化要明显得多。
如果是每次月经的间隔都一样，只是比一个月的间隔推迟了，比如每次月经间隔都是 35 天，这其实是正常的，不算推迟，也不算月经失调。如果这个周期比上一个周期延长了，那才称得上是月经推迟。
如果仅仅三五天、或者仅仅推迟过一次，可能跟生活压力、饮食情况有关系，不需要太过在意。
但如果每年月经周期少于 9 次，或月经周期超过 35 日就是月经稀发了，是月经失调的一种。
经期提前也一样，有些人每次月经都是 21 天，这种情况就算不上「月经提前一周」，而且，偶尔有过一两次的月经周期变短，比如提前 3、5 天，也不用太过在意。
如果经常性的出现月经周期延长、或者月经周期缩短，严重影响了生活，甚至导致贫血等情况，可能真的是月经失调，需要就诊妇科检查一下看是什么问题导致了这种情况。
但如果连续 3 个月月经周期小于 21 天，就属于月经缩短了，也是月经失调的一种。"
生殖器疱疹,"生殖器疱疹是什么？
生殖器疱疹是一种由单纯疱疹病毒（HSV）感染引起的、主要通过性接触传播的疾病，属于「性病」的一种
[1]
。
主要表现为生殖器部位以及肛周皮肤黏膜出现水疱样的疹子，伴灼热感。可以通过药物治疗手段缓解患者症状，但该病容易反复发作。不及时处理的话，可能会继发细菌感染或全身散播
[2]
。
生殖器疱疹常见吗？
常见
[3]
。
本病的发病率在迅速增加，成为许多国家和地区生殖器溃疡的主要组成病种，好发于 15～45 岁性活跃期男女
[3]
。
我国一项调查结果显示，生殖器疱疹占生殖器溃疡的 43.95％
[3]
，即为每 10000 个患有生殖器溃疡的患者中，约有 4395 人患的是生殖器疱疹。
生殖器疱疹的感染可以分为哪些类型？
生殖器疱疹感染根据临床表现及疾病复发次数，可分为
[1]
：
初发性生殖器疱疹：一般潜伏期为 2～14 天，就是单纯病毒感染后 2～14 天出现症状，病程一般 2～3 周。
*原发性生殖器疱疹：是指单纯疱疹首次感染[1]。
*非原发性初发性生殖器疱疹：指先前既往有单纯疱疹病毒感染的患者出现生殖器疱疹。
复发性生殖器疱疹：首次复发多在原发感染后 1～4 个月，皮损一般在首次发病的部位出现。
亚临床型生殖器疱疹：一般没有典型的疱疹临床表现，容易被忽视，但是具有传染性。
生殖器疱疹应该去哪个科室就诊？
皮肤性病科、皮肤科。
生殖器部位出现成片的、脓疱、糜烂、溃疡等生殖器疱疹表现可以去皮肤性病科就诊。"
子宫肌瘤,"子宫肌瘤是什么？
子宫肌瘤是一种女性常见的生殖器肿瘤
[1]
，确切的病因尚未明确，可能与激素、饮食、肥胖等相关。
常见于 30～50 岁的育龄期女性，20 岁以下少见
[1]
。
子宫肌瘤是一种良性疾病，一般没有或很少有症状，有症状的患者主要表现为下腹坠胀、腰酸背痛、小便次数增多、月经量增多等。
无症状的子宫肌瘤不需要治疗。有症状的子宫肌瘤通过药物可以缩小肌瘤体积、减少出血量。可通过手术治疗，但手术后会复发。少部分患者肌瘤可引起不孕或流产。
子宫肌瘤常见吗？
常见。据统计，30 岁以上的女性约 20% 有子宫肌瘤
[1]
，即100 位 30 岁以上的女性大约有 20 位患有子宫肌瘤。因本病多无症状，故临床报道的发病率小于实际情况。
子宫肌瘤有哪些类型？
按肌瘤生长的部位，可分为
[1]
：
宫体肌瘤（90%）：肌瘤长在子宫体内。
宫颈肌瘤（10%）：肌瘤长在宫颈上。
按肌瘤与子宫肌壁的关系，分为三类
[1]
：
肌壁间肌瘤：占 60%～70%，肌瘤位于子宫肌壁间，周围均被肌层包围；
浆膜下肌瘤：约占 20%，肌瘤向表面生长，并突出于子宫表面；
黏膜下子宫肌瘤：占 10%～15%，肌瘤向宫腔内生长，突出于子宫腔，黏膜下肌瘤易形成蒂，可挤出宫颈外口而突入阴道。
子宫肌瘤会变成癌症吗？
一般除了罕见情况，良性子宫肌瘤几乎不会进展为恶性的子宫肉瘤；若绝经后子宫包块增大，应警惕发生肉瘤变。
但是子宫肉瘤有可能在手术之前被误认为是子宫肌瘤，多见于绝经后伴有疼痛及出血的患者。
多发性子宫肌瘤是什么？
子宫肌瘤常有多个，各种类型的肌瘤可发生在同一子宫，称为多发性子宫肌瘤。
子宫肌瘤应该看哪个科？
妇科或妇产科。"
卵巢癌,"卵巢癌是什么？
我们通常所说的卵巢癌即指发生于卵巢（包括卵巢表面的生发上皮和深层的卵巢间质）的恶性肿瘤，它是女性生殖器官最常见的三种恶性肿瘤之一。
卵巢癌患者除了经受身体上的痛苦，心理上也可能产生较多的负面情绪，但无论如何，请不要对治疗失去信心。假如你的家人朋友患了卵巢癌，也请给予他们足够的情感支持，鼓励她们积极接受治疗。
卵巢癌与卵巢囊肿的区别是什么？
通常所说的卵巢囊肿是一种良性疾病，包括子宫内膜异位囊肿、卵巢系膜囊肿、输卵管卵巢炎症相关囊肿（或脓肿）等，只需及时治疗即可。
而卵巢癌则是一种危害极大的恶性肿瘤，病死率高，对人体造成严重损害甚至导致死亡。
卵巢癌的患病人数多吗？
2012 年全球新增卵巢癌患者约 23.87 万人，卵巢癌所致死亡约为 15.19 万人。中国国家癌症中心的数据显示：2010 年我国新增确诊卵巢癌病例约 41516 例。"
癌前病变,"癌前病变是什么癌症吗？
癌前病变不等于癌症，它与癌是两种不同的病变，而且此病变也不是癌的前期，而是一些具有癌变潜能的良性病变
[1]
。
比较多见的癌前病变有肝细胞不典型增生、结直肠（大肠）腺瘤样息肉、慢性萎缩性胃炎伴肠上皮化生（胃黏膜上皮细胞被肠型上皮细胞代替）、黏膜白斑、宫颈上皮不典型增生、乳腺纤维囊性增生病等。
癌前病变大多是良性病变，经过规范治疗，一般不会进展成癌症
[1]
。
癌前病变常见吗？
本病常见。例如通过胃镜和胃组织活检进行的胃癌筛查中，常见的胃癌前病变（慢性萎缩性胃炎、上皮内瘤变）的比例高达 30%
[2]
。
常见的癌前病变有哪些？
不同的部位有不同的癌前病变，常见的有：
结直肠（大肠）：腺瘤样息肉、溃疡性结肠炎；
胃：慢性萎缩性胃炎伴肠上皮化生、残胃、胃腺瘤；
食管：上皮不典型增生、巴雷特食管；
肝：肝硬化、肝细胞不典型增生、腺瘤样增生；
黏膜：黏膜白斑（口腔、食管、阴茎、外阴、子宫颈等处）；
宫颈：宫颈上皮不典型增生、慢性子宫颈炎伴子宫颈糜烂；
乳腺：乳腺组织非典型增生、导管内乳头状瘤、乳腺纤维囊性增生病；
皮肤：交界痣，可出现在身体的各个部位。"
不孕症,"不孕症指的是什么？
简单地说，不孕症就是由于某些原因导致女性没法怀孕的情况。不孕症其实不是一个「具体的疾病」，而是因为有其他影响怀孕的疾病而导致的一个结果，是一个统称。
在医学上，不孕症是指育龄期女性没有采取任何避孕措施、有正常性生活 1 年而没有成功怀孕的情况。
不孕症的发病率高吗？
只能说，相对来说比较高。2012 年的文献表明，我国不孕症的发病率约为 10%，且近年来有上升趋势。"
性高潮障碍,"性高潮障碍是什么病？
性高潮障碍，是性功能障碍（又称作性功能失调）的一种表现类型，特征是在性唤起和充分的性刺激后，持续存在或反复出现性高潮缺乏或延迟或异常，且症状可导致明显痛苦或人际关系困难。
首选心理行为治疗，预后受多种因素影响。
狭义的性高潮障碍主要指女性性高潮障碍，而广义的性高潮障碍也包括男性性高潮障碍。男性性高潮障碍主要包括延迟射精和早泄，具体可参考相应词条，本词条为狭义的性高潮障碍。
当得了性高潮障碍时，患者会因为来自外界的压力，出现「羞愧」、「自责」等感受。此时更需要来自周围人的支持与鼓励。请不带偏见的和他们相处，也请尊重他们，不散播他们的隐私。
性高潮障碍的女性多吗？
依据流行病学，性高潮功能障碍的估计患病率在国际上从约 20%～40% 之间。
但女性性高潮障碍的患病率可能低于这一估计值，因为女性性高潮障碍的诊断标准要求其症状必须使当事人痛苦或厌烦。部分资料报道，符合诊断标准的女性性高潮障碍患病率可能在 4.7%～8% 之间。"
先兆流产,"流产是什么？
各种原因导致的怀孕不满 28 周、胎儿体重不足 1000 g 而终止者均为流产。
流产分为哪些类型？
按发生时间可分为
早期流产
（发生时怀孕不满 14 周）和
晚期流产
（发生时怀孕已满 14 周但不满 28 周）。也可分为
自然流产
和
人工流产
两大类。
自然流产分为哪些类型？
按流产发展的不同阶段，分为
先兆流产
、
难免流产
、
不全流产
（即流产不完全，仍有胚胎组织物残留在宫腔）、
完全流产
四类。
先兆流产是什么？
先兆流产是自然流产的最早期，通常表现为少量的阴道流血，可伴轻微下腹痛或腰痛，但宫口未开，胎膜未破，子宫大小与孕周相符，无妊娠物排出。经休息及治疗，症状消失，可继续妊娠。"
妊娠期糖尿病,"妊娠期糖尿病是什么疾病？
妊娠期间的糖尿病有两种情况：一种是在原有糖尿病的基础上合并妊娠，称为「糖尿病合并妊娠」；另一种是妊娠前一切正常，怀孕后才出现的糖尿病，称为「妊娠期糖尿病」。血糖高的孕妇中 90% 以上都是妊娠期糖尿病。
妊娠期糖尿病对母亲和孩子均有不利影响，因此妊娠中期会进行口服葡萄糖耐量试验（OGTT），筛查有无妊娠期糖尿病。
不太严重的妊娠期糖尿病，通过饮食控制、运动即可控制血糖；比较严重的妊娠期糖尿病，则需要注射胰岛素治疗。
生产后，妊娠期糖尿病可缓解，但以后患上 2 型糖尿病的风险会升高。
妊娠期糖尿病常见吗？
常见，我国发生率 1%～5%，近年来有明显增高趋势。"
羊水过少,方璇模产科主治医师
不孕症,"不孕症指的是什么？
简单地说，不孕症就是由于某些原因导致女性没法怀孕的情况。不孕症其实不是一个「具体的疾病」，而是因为有其他影响怀孕的疾病而导致的一个结果，是一个统称。
在医学上，不孕症是指育龄期女性没有采取任何避孕措施、有正常性生活 1 年而没有成功怀孕的情况。
不孕症的发病率高吗？
只能说，相对来说比较高。2012 年的文献表明，我国不孕症的发病率约为 10%，且近年来有上升趋势。"
早期妊娠,"早期妊娠是什么意思？
妊娠全程共有 40 周，临床上将其划分为三个时期：早期妊娠、中期妊娠、晚期妊娠。具体如下：
早期妊娠（first trimester）：也可称为孕早期、早孕等，它是指怀孕第 13 周 + 6 天之前的时期，孕周是从最后一次月经的第一天开始算起
[2]
；
中期妊娠（second trimester）：即怀孕第 14～27 周 + 6 天
[2]
；
晚期妊娠（third trimester）：即怀孕第 28 周及以后
[2]
。
早期妊娠应该去哪个科室就诊？
妇产科或产科。
一般去妇产科就诊，明确妊娠时间。
妊娠就是怀孕吗？
妊娠（pregnancy）简单来说就是平常所说的「怀孕」，是指从受精卵形成开始到胎儿及其附属物（如胎盘、胎膜、脐带、羊水）自母体排出的过程
[1]
。
这个过程要从最后一次月经的第 1 天开始算起，大约有 280 天，即 40 周。
早期妊娠有什么表现？
一般出现以下情况就应该高度怀疑早期妊娠
[1]
：
停经：育龄期有性生活的健康女性，平时月经规律，本次月经未正常发生，超过 10 天，应怀疑早期妊娠，若超过两个月，则早期妊娠的可能性更大。
早孕反应：如出现厌油、恶心、晨起呕吐、喜食酸物、头晕乏力、嗜睡、怕冷、食欲不振等应怀疑早期妊娠
[1]
；
自觉乳房胀痛，乳头增大，乳晕色素加深；
尿频：小便次数增多。
出现以上症状应去正规医院进行检查，排除宫颈癌、宫外孕可能。同时妇科检查，可触及子宫增大变软，从而初步明确是否早期妊娠。
一般通过尿妊娠试验，可确认是否妊娠，但若合并有其他不适如腹痛、阴道流血、头晕乏力等，则需排除异位妊娠、宫颈癌变等疾病
[2]
。
早期妊娠的常见原因有哪些？
早期妊娠属于女性正常的生理阶段，不属于疾病过程
[1]
。对于育龄期女性来说，正常的房事可导致自然受精。
计划生育的年轻夫妇可到医院咨询产科医生，女方提供月经周期及最后一次月经开始的时间，便可估算女方下次受孕的时间，双方只需在这段时间内进行房事，便可受孕从而进入孕早期，即早期妊娠。
对于非育龄期健康女性，排卵期（下次月经来潮前的第 14 天为排卵日，排卵日的前 5 天和后 4 天加一起称为排卵期）性交、口服药物促排卵、使用辅助生殖技术等也可使其早孕
[1]
。
怀疑早期妊娠时，需要做哪些检查？
若有上述典型的症状，则高度怀疑早期妊娠，同时借助于以下辅助检查可以帮助确诊。
妊娠试验：这是最简单、常用的方法，通过早孕试纸检测尿液观察判断
[1]
，试纸可在正规药店购买，试纸条上下端均出现有色带则为阳性，表示怀孕。
超声检查：这是一种无创检查方法，是诊断早期妊娠的金标准
[1]
，若超声下可见妊娠囊、胚芽、原始心管搏动等结构也可确认早期妊娠、活胎，同时超声检查可以推算胎龄，通过与停经时间对比，判断胚胎或胎儿发育是否正常；
基础体温：此法简单易行，通过每日测量体温，描绘体温曲线，正常未孕女性为双相型曲线，若体温持续在高温相 18 天不下降，应怀疑早期妊娠，持续超过 3 周，早期妊娠可能性更大
[1]
。
宫颈粘液检查：该方法较少用，需要在正规医院行阴道窥器检查，取少量宫颈部的粘液制成涂片，干燥后通过显微镜观察，才可判断是否早期妊娠
[1]
。
早期妊娠生活中需要注意什么？
早期妊娠又称孕早期，是胎儿生长发育的关键时期，母亲在该期的身心状况，会密切影响到胎儿的发育情况。
此期应保持心情愉快，自我调节工作压力；
适度锻炼，但不推荐剧烈运动，可穿着舒适平底鞋每日散步，提高机体免疫力；
注意饮食中营养物质的需求，注意微量元素的补充；
注意禁烟、禁酒、禁毒，避免孕早期性交；
注意此期避免服用可能导致胎儿畸形的药物，如激素、喹诺酮类抗生素等；
注意控制早孕期间血糖、血压、甲状腺功能等的检测
[3]
。
如何终止早期意外妊娠？
终止早期意外妊娠的方式有：药物流产及人工流产。
药物流产：主要使用米非司酮作用于子宫内膜使蜕膜细胞坏死，同时使用米索前列醇使子宫收缩促妊娠物排出。优点是腹痛轻、不紧张，缺点是出血时间长可能需要清宫处理
[1]
。
人工流产：和药物流产机制相似，不同之处在于人工流产是人为作用于子宫内膜，使胚胎排出更加完全
[1]
。优点是流产时间短，缺点是腹痛重，女方容易出现恐惧心理。
不管采用哪种方式，都应前往正规医院进行。
早期妊娠阶段如何预防意外流产？
部分女性在未发觉自己已经怀孕的时候出现阴道流血，误以为是月经推迟，所以平时月经规律的育龄期健康女性，在月经异常时需格外留意，必要时可自己购买早早孕试纸或验孕棒进行测试。发现异常阴道流血时及时就医。
早期妊娠阶段反复多次流产的原因是什么？
早期妊娠流产，是指早期妊娠 12 周之前自然终止妊娠的现象。若发生反复多次流产，则可能与以下因素有关：
遗传因素：染色体异常。染色体数目及结构的变化都可以导致自然流产
[1]
，因此反复性流产的夫妇应去正规医院检查双方的染色体序列，但是尽管夫妇双方染色体序列正常，依然存在流产的可能性；
后天因素：育龄妇女自身存在的子宫内膜异常、子宫畸形等使受精卵着床异常，或者剖宫产术后瘢痕子宫也可以导致自然流产
[1]
；
心理因素：育龄妇女在孕期存在焦虑、精神紧张等因素通过下丘脑-垂体-内分泌轴分泌激素作用于子宫等生殖器，导致子宫异常收缩引起自然流产
[1]
。
此外，饮食、环境、压力、内分泌失调以及免疫因素等多因素联合作用也可导致反复多次流产
[1]
。"
